Dataset,Camera,Category,Author,Organisation/Project,Source,Dataset link,Images,Size in GB (est.),Ground Truth,License,License link,SampleImage,Image Format,DOI,Masks,Description
AvignonHotelDesMonnaies,Canon EOS 5D Mark II,Building,Romuald Perrot rperrot,,https://github.com/rperrot/ReconstructionDataSet,https://github.com/rperrot/ReconstructionDataSet/tree/master/AvignonHotelDesMonnaies,11,"0,176",no,Attribution-NonCommercial 3.0 Unported,https://github.com/rperrot/ReconstructionDataSet/blob/master/LICENSE,https://github.com/rperrot/ReconstructionDataSet/blob/master/AvignonHotelDesMonnaies/DPP_0001.JPG,JPG,,,Hotel des Monnaies facade building in Avignon (France)
BoutevilleWindowDetail,Canon EOS 5D Mark II,Building,Romuald Perrot rperrot,,https://github.com/rperrot/ReconstructionDataSet,https://github.com/rperrot/ReconstructionDataSet/tree/master/BoutevilleWindowDetail,26,"0,416",no,Attribution-NonCommercial 3.0 Unported,https://github.com/rperrot/ReconstructionDataSet/blob/master/LICENSE,https://github.com/rperrot/ReconstructionDataSet/blob/master/BoutevilleWindowDetail/DPP_0785.JPG,JPG,,,Upper window detail of Bouteville Castle (France)
BurgosPuertaDeLaCoroneria,Canon EOS 5D Mark II,Building,Romuald Perrot rperrot,,https://github.com/rperrot/ReconstructionDataSet,https://github.com/rperrot/ReconstructionDataSet/tree/master/BurgosPuertaDeLaCoroneria,10,"0,16",no,Attribution-NonCommercial 3.0 Unported,https://github.com/rperrot/ReconstructionDataSet/blob/master/LICENSE,https://github.com/rperrot/ReconstructionDataSet/blob/master/BurgosPuertaDeLaCoroneria/DPP_0245.JPG,JPG,,,North Transept Portal of Burgos Cathedral
CognacGardenBuilding,Canon EOS 5D Mark II,Building,Romuald Perrot rperrot,,https://github.com/rperrot/ReconstructionDataSet,https://github.com/rperrot/ReconstructionDataSet/tree/master/CognacGardenBuilding,12,"0,192",no,Attribution-NonCommercial 3.0 Unported,https://github.com/rperrot/ReconstructionDataSet/blob/master/LICENSE,https://github.com/rperrot/ReconstructionDataSet/blob/master/CognacGardenBuilding/DPP_0823.jpg,JPG,,,Cognac Garden Building image set
CognacStJacquesDoor,Canon EOS 5D Mark II,Building,Romuald Perrot rperrot,,https://github.com/rperrot/ReconstructionDataSet,https://github.com/rperrot/ReconstructionDataSet/tree/master/CognacStJacquesDoor,19,"0,304",no,Attribution-NonCommercial 3.0 Unported,https://github.com/rperrot/ReconstructionDataSet/blob/master/LICENSE,https://github.com/rperrot/ReconstructionDataSet/blob/master/CognacStJacquesDoor/DPP_0803.jpg,JPG,,,Saint Jacques Door at cognac City
EchillaisChurch,Canon EOS 5D Mark II,Building,Romuald Perrot rperrot,,https://github.com/rperrot/ReconstructionDataSet,https://github.com/rperrot/ReconstructionDataSet/tree/master/EchillaisChurch,352,"5,632",no,Attribution-NonCommercial 3.0 Unported,https://github.com/rperrot/ReconstructionDataSet/blob/master/LICENSE,https://github.com/rperrot/ReconstructionDataSet/blob/master/EchillaisChurch/DPP_2118.JPG,JPG,,,Echillais Church
MirebeauStHilaireStatue,Canon EOS 5D Mark II,Statue,Romuald Perrot rperrot,,https://github.com/rperrot/ReconstructionDataSet,https://github.com/rperrot/ReconstructionDataSet/tree/master/MirebeauStHilaireStatue,22,"0,352",no,Attribution-NonCommercial 3.0 Unported,https://github.com/rperrot/ReconstructionDataSet/blob/master/LICENSE,https://github.com/rperrot/ReconstructionDataSet/blob/master/MirebeauStHilaireStatue/DPP_0001.JPG,JPG,,,"Saint Hilaire Statue in front of Mirebeau Church (Vienne, France)"
MuratoCorsicaChurch,Canon EOS 5D Mark II,Building,Romuald Perrot rperrot,,https://github.com/rperrot/ReconstructionDataSet,https://github.com/rperrot/ReconstructionDataSet/tree/master/MuratoCorsicaChurch,43,"0,688",no,Attribution-NonCommercial 3.0 Unported,https://github.com/rperrot/ReconstructionDataSet/blob/master/LICENSE,https://github.com/rperrot/ReconstructionDataSet/blob/master/MuratoCorsicaChurch/DPP_0001.JPG,JPG,,,Murato Church in Corsica
PoitiersCathedralMainEntranceDoor,Canon EOS 5D Mark II,Building,Romuald Perrot rperrot,,https://github.com/rperrot/ReconstructionDataSet,https://github.com/rperrot/ReconstructionDataSet/tree/master/PoitiersCathedralMainEntranceDoor,33,"0,528",no,Attribution-NonCommercial 3.0 Unported,https://github.com/rperrot/ReconstructionDataSet/blob/master/LICENSE,https://github.com/rperrot/ReconstructionDataSet/blob/master/PoitiersCathedralMainEntranceDoor/DPP_0735.JPG,JPG,,,Main Entrance Door of Poitiers Cathedral (France)
dataset_flowerpot,Meizu M1 Note,Object,natowi,,https://github.com/natowi/dataset_flowerpot,https://github.com/natowi/dataset_flowerpot/tree/master/full_dataset,245,"0,8",no,Creative Commons Attribution-ShareAlike 4.0 International License.,https://github.com/natowi/dataset_flowerpot/blob/master/license.md,https://github.com/natowi/dataset_flowerpot/blob/master/full_dataset/P81019-151014.jpg,JPG,,,"Scan of a small flowerpot. The images were created by turning the object with the reference plane and keeping the camera on the same position.This dataset uses the ""Scale for Small-Object Photogrammetry"" by Samantha Porter"
dataset_monstree full,IPhone 7,Tree,fabiencastan alicevision,,https://github.com/alicevision/dataset_monstree,https://github.com/alicevision/dataset_monstree/tree/master/full,41,"0,135",no,?,?,https://github.com/alicevision/dataset_monstree/blob/master/full/IMG_1024.JPG,JPG,,,Part of a tree trunk all images
dataset_monstree mini3,IPhone 7,Tree,fabiencastan alicevision,,https://github.com/alicevision/dataset_monstree,https://github.com/alicevision/dataset_monstree/tree/master/mini3,3,"0,014",no,?,?,https://github.com/alicevision/dataset_monstree/blob/master/mini3/IMG_1024.JPG,JPG,,,Part of a tree trunk 3 images
dataset_monstree mini6,IPhone 7,Tree,fabiencastan alicevision,,https://github.com/alicevision/dataset_monstree,https://github.com/alicevision/dataset_monstree/tree/master/mini6,6,"0,027",no,?,?,https://github.com/alicevision/dataset_monstree/blob/master/mini6/IMG_1024.JPG,JPG,,,Part of a tree trunk 6 images
dataset_buddha,?,Statue,fabiencastan alicevision,,https://github.com/alicevision/dataset_buddha,https://github.com/alicevision/dataset_buddha/tree/master/buddha,67,,no,?,?,https://github.com/alicevision/dataset_buddha/blob/master/buddha/00001._c.png,PNG,yes,,Buddah head (modern) all images
dataset_buddha buddha_mini6,?,Statue,fabiencastan alicevision,,https://github.com/alicevision/dataset_buddha,https://github.com/alicevision/dataset_buddha/tree/master/buddha_mini6,6,"0,024",no,?,?,https://github.com/alicevision/dataset_buddha/blob/master/buddha_mini6/00001._c.png,PNG,,,Buddah head (modern) 6 images
Bird_snow_UK,Motorola Milestone,Animal tracks,Peter Falkingham,,https://peterfalkingham.com/resources/,https://peterfalkingham.com/resources/neoichnology/,8,"0,005",no,?,?,https://pfalkingham.files.wordpress.com/2014/07/bird-snow-custom.jpg,JPG,DOI: 10.6084/m9.figshare.1111480 ,,Tracks from an unidentified bird in ~ 5mm snow
Bird track in mud,SONY NEX-4,Animal tracks,Peter Falkingham,,https://peterfalkingham.com/resources/,https://peterfalkingham.com/resources/neoichnology/,8,"0,126",no,?,?,,JPG,DOI: 10.6084/m9.figshare.1111868 ,,This was taken in a drying pond where geese congregated 
"Heron, multiple tracks, mud, Flintshire, UK.",SONY NEX-5,Animal tracks,Peter Falkingham,,https://peterfalkingham.com/resources/,https://peterfalkingham.com/resources/neoichnology/,21,"0,1",no,?,?,,JPG,DOI: 10.6084/m9.figshare.1564810 ,,"3-4 tracks in sequence.  Quite deep in soft, sticky mud "
Deer track ,SONY NEX-6,Animal tracks,Peter Falkingham,,https://peterfalkingham.com/resources/,https://peterfalkingham.com/resources/neoichnology/,6,"0,07",no,?,?,,JPG,DOI: 10.6084/m9.figshare.1185593 ,,"Deer track made in dry, coarse soil "
Dog track mud,Nokia Lumia 925,Animal tracks,Peter Falkingham,,https://peterfalkingham.com/resources/,https://peterfalkingham.com/resources/neoichnology/,16,"0,078",no,?,?,,JPG,DOI: 10.6084/m9.figshare.1111870 ,,Assumed deep dog tracks in mud
Dog track sand,OLYMPUS,Animal tracks,Peter Falkingham,,https://peterfalkingham.com/resources/,https://peterfalkingham.com/resources/neoichnology/,6,"0,1",no,?,?,,JPG,DOI: 10.6084/m9.figshare.1111869 ,,Dog track made on the beach. 
"Pig, Mud, Herts UK",,Animal tracks,Peter Falkingham,,https://peterfalkingham.com/resources/,,,,no,?,?,,,DOI: 10.6084/m9.figshare.1111871 ,,Bioturbated surface created from pigs walking and rooting in mud. Notes: Some very odd scour marks left by the snout make for a highly complex surface – one that would be extremely difficult to interpret in the fossil record
"Squirrel, Snow, Rhode Island USA",,Animal tracks,Peter Falkingham,,https://peterfalkingham.com/resources/,,,,no,?,?,,,DOI: 10.6084/m9.figshare.1111873 ,,Tracks made by a bounding Squirrel in deep snow (saw the squirrel make them). Notes: I was struck how much the 4 feet + body look so much like a single larger track when the kinematics distort the impressions. Look at it long enough and you might see a theropod track with pad impressions!
"Squirrel, Sand, Herts UK",,Animal tracks,Peter Falkingham,,https://peterfalkingham.com/resources/,,,,no,?,?,,,DOI: 10.6084/m9.figshare.1111872 ,,Tracks made by what I believe was a squirrel – 3 tracks showing manus/pes overprinting. A bird track is also present. 
"Squirrel, Mud, North Wales",,Animal tracks,Peter Falkingham,,https://peterfalkingham.com/resources/,,,,no,?,?,,,DOI: 10.6084/m9.figshare.4496054 ,," Really nice impressions including fur/skin marks behind the footprints Notes: Download includes *.fbx, rather than the more common ply, stl, or obj"
"Human, Mud/Soil, Wirral UK",,Animal tracks,Peter Falkingham,,https://peterfalkingham.com/resources/,,,,no,?,?,,,DOI: 10.6084/m9.figshare.1461651 ,,"Human tracks made on a soil slope. Notes: What’s interesting is that I don’t think these were made by a single individual, but rather the gradual erosion of the substrate by successive people walking in the same area.  People choose to step on the previous impressions as they are flatter than the rest of the slope and provide a more level footing.  No Scale – Sorry, this was a spur of the moment thing and I didn’t have anything for scale handy (very naughty I know!), but felt it was interesting enough to share."
"Shod Human, Rippled beach sand, West Kirby, UK",,Animal tracks,Peter Falkingham,,https://peterfalkingham.com/resources/,,,,no,?,?,,,DOI: 10.6084/m9.figshare.1512808 ,,Human footprint on a heavily rippled beach. Sole of shoe clear.
"Shod Human + Dog, Deep [cracked] mud, Neston, Wirral, UK.",,Animal tracks,Peter Falkingham,,https://peterfalkingham.com/resources/,,,,no,?,?,,,DOI: 10.6084/m9.figshare.1512808 ,,Human footprint on a heavily rippled beach. Sole of shoe clear. Notes: Interesting preservation in the slip/fault of the centre section of substrate during toe-off.
"Human in Wellington Boot, Mud + Grass, Wirral, UK",,Animal tracks,Peter Falkingham,,https://peterfalkingham.com/resources/,,,,no,?,?,,,DOI: 10.6084/m9.figshare.2056728 ,,Footprint of Wellington Boot. 
Horse Trackway/Trampled Ground,,Animal tracks,Peter Falkingham,,https://peterfalkingham.com/resources/,,,,no,?,?,,,DOI: 10.6084/m9.figshare.1551979 ,,"An area trampled by horse tracks, presumably 2-3 horses crossed the area, but not certain. "
Horse prints and raindrop impressions,,Animal tracks,Peter Falkingham,,https://peterfalkingham.com/resources/,,,,no,?,?,,,DOI: 10.6084/m9.figshare.2056731.v1 ,,"An area trampled by horse tracks, and presented a rained on surface. "
"Rhino tracks, deep mud",,Animal tracks,Peter Falkingham,,https://peterfalkingham.com/resources/,,,,no,?,?,,,DOI: 10.6084/m9.figshare.3806289.v1 ,,"Individual tracks from a large Rhino, one in deep mud, the other shallower."
"Crocodiles, Various",,Animal tracks,Peter Falkingham,,https://peterfalkingham.com/resources/,,,,no,?,?,,,DOI: 10.5281/zenodo.31711 ,,
"Cricket (injured), Sand, UK",,Animal tracks,Peter Falkingham,,https://peterfalkingham.com/resources/,,,,no,?,?,,,DOI: 10.6084/m9.figshare.1111867 ,,Walking trackway of injured cricket. 
Tyrannosaurid ,,Animal tracks,Peter Falkingham,,https://peterfalkingham.com/resources/,https://peterfalkingham.com/resources/dinosaur-tracks/,9,"0,1",no,?,?,,JPG,10.6084/m9.figshare.1117833 ,,Large tridactyl track attributed to a Tyrannosaurid trackmaker. Preserved in highly weathered surface. 
Theropod(?) ,,Animal tracks,Peter Falkingham,,https://peterfalkingham.com/resources/,https://peterfalkingham.com/resources/dinosaur-tracks/,17,"0,119",no,?,?,,JPG,DOI: 10.6084/m9.figshare.1185611 ,,"A pretty poorly preserved tridactyl track, probably theropod (but could be ornithopod) "
Historical Recontruction – Paluxy chase sequence,Scan,Animal tracks,Peter Falkingham,,https://peterfalkingham.com/resources/,https://peterfalkingham.com/resources/dinosaur-tracks/,17,"0,233",no,?,?,,JPG,DOI: 10.6084/m9.figshare.1297750.v1 ,,"Historical photographs, and associated photogrammetric reconstruction of the famous Paluxy River Chase Sequence.  Photographs were taken around the time of the excavation in 1946, and are scanned in at about 1200dpi. "
Theropod track,,Animal tracks,Peter Falkingham,,https://peterfalkingham.com/resources/,https://peterfalkingham.com/resources/dinosaur-tracks/,25,"0,119",no,?,?,,JPG,DOI: 10.6084/m9.figshare.5674696.v1 ,,"Theropod track, decent size, nice preservation "
Latex Peels of 4 theropod tracks from the Paluxy River,,Animal tracks,Peter Falkingham,,https://peterfalkingham.com/resources/,https://peterfalkingham.com/resources/dinosaur-tracks/,,"0,239",no,?,?,,,DOI: 10.6084/m9.figshare.1322110 ,,Latex Peels of 4 theropod tracks from the Paluxy R 
Sauropod track,,Animal tracks,Peter Falkingham,,https://peterfalkingham.com/resources/,https://peterfalkingham.com/resources/dinosaur-tracks/,,"0,064",no,?,?,,,DOI: 10.6084/m9.figshare.3203359.v1 ,,Digit only sauropod pes impression 
Ornithopod? ,,Animal tracks,Peter Falkingham,,https://peterfalkingham.com/resources/,https://peterfalkingham.com/resources/dinosaur-tracks/,,"0,145",no,?,?,,,DOI:10.6084/m9.figshare.4231679,,ingle ornithopod track with interesting internal morphology 
The Rosetta Stone ,SONY ILCE-6000 v3.2,Heritage,Daniel Pett  British Museum,,https://github.com/BritishMuseumDH/rosettaStone,https://github.com/BritishMuseumDH/rosettaStone/tree/master/raw,223,"1,1",,Attribution-NonCommercial-ShareAlike 4.0 International,https://github.com/BritishMuseumDH/rosettaStone/blob/master/LICENSE.md,,,10.5281/zenodo.1158526,,This repository contains data for recreation of a British Museum object - the Rosetta Stone - in 3D using Agisoft PhotoScan Pro. One could use the raw images with any other package that supports Photogrammetry. 
Alexander the Great ,SONY ILCE-6000 v3.2,Heritage,Daniel Pett  British Museum,,https://github.com/BritishMuseumDH/alexanderTheGreat,https://github.com/BritishMuseumDH/alexanderTheGreat/tree/master/images,56,"0,28",,Attribution-NonCommercial-ShareAlike 4.0 International,https://github.com/BritishMuseumDH/alexanderTheGreat/blob/master/LICENSE.md,,,10.5281/zenodo.888818 ,,"Marble portrait head of Alexander the Great: the head was cut to fit into a separately made body. The surface is in good condition with only minor abrasions. The back of the head has been worked to receive the remainder of the hair, which was probably made of another material, such as stucco or plaster. COL: GAA8293"
False door of Ptahshepses ,Sony A6000 ,,Daniel Pett  British Museum,,https://github.com/BritishMuseumDH/falseDoorOfPtahshepses,https://github.com/BritishMuseumDH/falseDoorOfPtahshepses/tree/master/images/chunks,860,,,,https://github.com/BritishMuseumDH/falseDoorOfPtahshepses/blob/master/LICENSE.md,,,,,"Limestone false-door and architrave of Ptahshepses: the architrave, which is carved in fine, detailed, sunk relief, contains five lines of text consisting of standard invocation-formulae to Osiris and Anubis. The false door consists of the false door proper with two lines of text on each side containing the titles of Ptahshepses, flanked on both sides by panelled walls carrying the biographical inscription of Ptahshepses in which he describes his birth in the time of Mycerinus, his marriage to Khamaat, a princess and daughter, probably, of Shepseskaf, and his career under four further kings, continuing down, probably, to Nyuserre of the Fifth Dynasty."
Statue of Roy ,Nikon D5100 ,,Daniel Pett  British Museum,,https://github.com/BritishMuseumDH/statueOfRy,https://github.com/BritishMuseumDH/statueOfRy/tree/master/images,160,,,CC-BY-NC-SA ,https://github.com/BritishMuseumDH/statueOfRy/blob/master/LICENSE.md,,,10.5281/zenodo.839820 ,Masks,"Granodiorite squatting figure of Roy, High Priest of Amun during the reigns of Ramses II, Merenptah and Sety II, holding a Hathor-headed sistrum before, the dorsal pillar is inscribed with two vertical registers of hieroglyphs - invocations to Amun-Ra and Mut; lower section lost. "
